,diagnosis_type,diagnosis_code
881, Lip,72.0
882," Eyelid, including canthus",72.1
883, Ear and external auricular canal,72.2
884, Other and unspecified parts of face,72.3
885, Scalp and neck,72.4
886," Trunk, except scrotum",72.5
887," Upper limb, including shoulder",72.6
888," Lower limb, including hip",72.7
889, Other,72.8
890, Site unspecified,72.9
891,Other malignant neoplasms of skin,73
892, Skin of lip,73.0
893," Eyelid, including canthus",73.1
894, Ear and external auricular canal,73.2
895, Skin of other and unspecified parts of face,73.3
896, Scalp and skin of neck,73.4
897," Skin of trunk, except scrotum",73.5
898," Skin of upper limb, including shoulder",73.6
899," Skin of lower limb, including hip",73.7
900, Other,73.8
901, Site unspecified,73.9
902,Malignant neoplasm of female breast,74
903, Nipple and areola,74.0
904, Central portion,74.1
905, Upper-inner quadrant,74.2
906, Lower-inner quadrant,74.3
907, Upper-outer quadrant,74.4
908, Lower-outer quadrant,74.5
909, Axillary tail,74.6
910, Other,74.8
911," Breast, unspecified",74.9
912,Malignant neoplasm of male breast,75
913,"Malignant neoplasm of uterus, part unspecified",79
914,Malignant neoplasm of cervix uteri,80
915, Endocervix,80.0
916, Exocervix,80.1
917, Other,80.8
918," Cervix uteri, unspecified",80.9
919,Malignant neoplasm of placenta,81
920,Malignant neoplasm of body of uterus,82
921," Corpus uteri, except isthmus",82.0
922, Isthmus,82.1
923, Other,82.8
924,Malignant neoplasms of ovary and other uterine adnexa,83
925, Ovary,83.0
926, Fallopian tube,83.2
927, Broad ligament,83.3
928, Parametrium,83.4
929, Round ligament,83.5
930, Other,83.8
931," Uterine adnexa, unspecified",83.9
932,Malignant neoplasms of other and unspecified female genital organs,84
933, Vagina,84.0
934, Labia majora,84.1
935, Labia minora,84.2
936, Clitoris,84.3
937," Vulva, unspecified",84.4
938, Other,84.8
939, Site unspecified,84.9
940,Malignant neoplasm of prostate,85
941,Malignant neoplasm of testis,86
942, Undescended,86.0
943, Other and unspecified,86.9
944,Malignant neoplasms of penis and other male genital organs,87
945, Prepuce,87.1
946, Glans penis,87.2
947, Body of penis,87.3
948," Penis, part unspecified",87.4
949, Epididymis,87.5
950, Spermatic cord,87.6
951, Scrotum,87.7
952, Other,87.8
953, Site unspecified,87.9
954,Malignant neoplasm of bladder,88
955, Trigone,88.0
956, Dome,88.1
957, Lateral wall,88.2
958, Anterior wall,88.3
959, Posterior wall,88.4
960, Bladder neck,88.5
961, Ureteric orifice,88.6
962, Urachus,88.7
963, Other,88.8
964, Part unspecified,88.9
965,Malignant neoplasms of kidney and other and unspecified urinary organs,89
966," Kidney, except pelvis",89.0
967, Renal pelvis,89.1
968, Ureter,89.2
969, Urethra,89.3
970, Paraurethral glands,89.4
971, Other,89.8
972, Site unspecified,89.9
973,Malignant neoplasm of eye,90
974," Eyeball, except conjunctiva, cornea, retina, and choroid",90.0
975, Orbit,90.1
976, Lacrimal gland,90.2
977, Conjunctiva,90.3
978, Cornea,90.4
979, Retina,90.5
980, Choroid,90.6
981, Lacrimal duct,90.7
982, Other,90.8
983, Part unspecified,90.9
984,Malignant neoplasm of brain,91
985," Cerebrum, except lobes and ventricles",91.0
986, Frontal lobe,91.1
987, Temporal lobe,91.2
988, Parietal lobe,91.3
989, Occipital lobe,91.4
990, Ventricle,91.5
991, Cerebellum,91.6
992, Brain stem,91.7
993, Other,91.8
994," Brain, unspecified",91.9
995,Malignant neoplasms of other and unspecified parts of nervous system,92
996, Cranial nerves,92.0
997, Cerebral meninges,92.1
998, Spinal cord,92.2
999, Spinal meninges,92.3
1000, Other,92.8
1001, Part unspecified,92.9
1002,Malignant neoplasm of thyroid gland,93
1003,Malignant neoplasms of other endocrine glands and related structures,94
1004, Suprarenal gland,94.0
1005, Parathyroid gland,94.1
1006, Pituitary gland and craniopharyngeal duct,94.3
1007, Pineal gland,94.4
1008, Carotid body,94.5
1009, Aortic body and other paraganglia,94.6
1010, Other,94.8
1011, Site unspecified,94.9
1012,Malignant neoplasms of other and ill-defined sites,95
1013," Head, face, and neck",95.0
1014, Thorax,95.1
1015, Abdomen,95.2
1016, Pelvis,95.3
1017, Upper limb,95.4
1018, Lower limb,95.5
1019, Other specified sites,95.8
1020,Malignant neoplasms without specification of site,99
1021, Disseminated,99.0
1022, Other,99.1
1023,Lymphosarcoma and reticulosarcoma,00
1024, Reticulosarcoma,00.0
1025, Lymphosarcoma,00.1
1026, Burkitt's tumor,00.2
1027, Other named variants,00.8
1028,Hodgkin's disease,01
1029, Hodgkin's paragranuloma,01.0
1030, Hodgkin's granuloma,01.1
1031, Hodgkin's sarcoma,01.2
1032, Lymphocytic-histiocytic predominance,01.4
1033, Nodular sclerosis,01.5
1034, Mixed cellularity,01.6
1035, Lymphocytic depletion,01.7
1036, Unspecified,01.9
1037,Other malignant neoplasms of lymphoid and histiocytic tissue,02
1038, Nodular lymphoma,02.0
1039, Mycosis fungoides,02.1
1040, Sezary's disease,02.2
1041, Malignant histiocytosis,02.3
1042, Leukemic reticuloendotheliosis,02.4
1043, Letterer-Siwe disease,02.5
1044, Malignant mast-cell tumor,02.6
1045, Other lymphomas,02.8
1046, Other and unspecified,02.9
1047,Multiple myeloma and immunoproliferative neoplasms,03
1048, Multiple myeloma,03.0
1049, Plasma cell leukemia,03.1
1050, Other immunoproliferative neoplasms,03.8
1051,Lymphoid leukemia,04
1052, Acute,04.0
1053, Chronic,04.1
1054, Subacute,04.2
1055, Other,04.8
1056, Unspecified,04.9
1057,Myeloid leukemia,05
1058, Acute,05.0
1059, Chronic,05.1
1060, Subacute,05.2
1061, Myeloid sarcoma,05.3
1062, Other,05.8
1063, Unspecified,05.9
1064,Monocytic leukemia,06
1065, Acute,06.0
1066, Chronic,06.1
1067, Subacute,06.2
1068, Other,06.8
1069, Unspecified,06.9
1070,Other specified leukemia,07
1071, Acute erythremia and erythroleukemia,07.0
1072, Chronic erythremia,07.1
1073, Megakaryocytic leukemia,07.2
1074, Other,07.8
1075,Leukemia of unspecified cell type,08
1076, Acute,08.0
1077, Chronic,08.1
1078, Subacute,08.2
1079, Other,08.8
1080, Unspecified,08.9
1081,"Benign neoplasms of lip, oral cavity, and pharynx",10
1082, Lip,10.0
1083, Tongue,10.1
1084, Major salivary glands,10.2
1085, Floor of mouth,10.3
1086, Other and unspecified parts of mouth,10.4
1087, Tonsil,10.5
1088, Other parts of oropharynx,10.6
1089, Nasopharynx,10.7
1090, Hypopharynx,10.8
1091," Pharynx, unspecified",10.9
1092,Benign neoplasms of other parts of digestive system,11
1093, Esophagus,11.0
1094, Stomach,11.1
1095," Small intestine, including duodenum",11.2
1096, Colon,11.3
1097, Rectum and anal canal,11.4
1098, Liver and biliary passages,11.5
1099," Pancreas, except islets of Langerhans",11.6
1100, Islets of Langerhans,11.7
1101, Retroperitoneum and peritoneum,11.8
1102, Other and unspecified site,11.9
1103,Benign neoplasms of respiratory and intrathoracic organs,12
1104," Nasal cavities, middle ear, and accessory sinuses",12.0
1105, Larynx,12.1
1106, Trachea,12.2
1107, Bronchus and lung,12.3
1108, Pleura,12.4
1109, Mediastinum,12.5
1110, Thymus,12.6
1111, Heart,12.7
1112, Other specified sites,12.8
1113, Site unspecified,12.9
1114,Benign neoplasms of bone and articular cartilage,13
1115, Bones of skull and face,13.0
1116, Lower jaw bone,13.1
1117," Vertebral column, excluding sacrum and coccyx",13.2
1118," Ribs, sternum, and clavicle",13.3
1119, Long bones of upper limb and scapula,13.4
1120," Upper limb, short bones",13.5
1121," Pelvic bones, sacrum and coccyx",13.6
1122," Lower limb, long bones",13.7
1123," Lower limb, short bones",13.8
1124, Site unspecified,13.9
1125,Lipoma,14
1126,Other benign neoplasms of connective and other soft tissue,15
1127," Head, face, and neck",15.0
1128," Upper limb, including shoulder",15.2
1129," Lower limb, including hip",15.3
1130, Thorax,15.4
1131, Abdomen,15.5
1132, Pelvis,15.6
1133," Trunk, unspecified",15.7
1134, Other specified sites,15.8
1135, Site unspecified,15.9
1136,Benign neoplasms of skin,16
1137, Skin of lip,16.0
1138," Eyelid, including canthus",16.1
1139, Ear and external auricular canal,16.2
1140, Skin of other and unspecified parts of face,16.3
1141, Scalp and skin of neck,16.4
1142," Skin of trunk, except scrotum",16.5
1143," Skin of upper limb, including shoulder",16.6
1144," Skin of lower limb, including hip",16.7
1145, Other,16.8
1146, Site unspecified,16.9
1147,Benign neoplasm of breast,17
1148,Uterine leiomyoma,18
1149,Other benign neoplasm of uterus,19
1150, Cervix uteri,19.0
1151, Corpus uteri,19.1
1152, Other specified parts,19.8
1153, Part unspecified,19.9
1154,Benign neoplasm of ovary,20
1155,Benign neoplasms of other female genital organs,21
1156, Uterine tube and ligaments,21.0
1157, Vagina,21.1
1158, Vulva,21.2
1159, Other specified sites,21.8
1160, Site unspecified,21.9
1161,Benign neoplasms of male genital organs,22
1162, Testis,22.0
1163, Penis,22.1
1164, Prostate,22.2
1165, Epididymis,22.3
1166, Scrotum,22.4
1167, Other specified sites,22.8
1168, Site unspecified,22.9
1169,Benign neoplasms of kidney and other urinary organs,23
1170," Kidney, except pelvis",23.0
1171, Renal pelvis,23.1
1172, Ureter,23.2
1173, Bladder,23.3
1174, Other specified sites,23.8
1175, Site unspecified,23.9
1176,Benign neoplasm of eye,24
1177," Eyeball, except conjunctiva, cornea, retina, and choroid",24.0
1178, Orbit,24.1
1179, Lacrimal gland,24.2
1180, Conjunctiva,24.3
1181, Cornea,24.4
1182, Retina,24.5
1183, Choroid,24.6
1184, Lacrimal duct,24.7
1185, Other specified parts,24.8
1186, Part unspecified,24.9
1187,Benign neoplasms of brain and other parts of nervous system,25
1188, Brain,25.0
1189, Cranial nerves,25.1
1190, Cerebral meninges,25.2
1191, Spinal cord,25.3
1192, Spinal meninges,25.4
1193, Other,25.8
1194, Part unspecified,25.9
1195,Benign neoplasm of thyroid gland,26
1196,Benign neoplasms of other endocrine glands and related structures,27
1197, Suprarenal gland,27.0
1198, Parathyroid gland,27.1
1199, Pituitary gland and craniopharyngeal duct,27.3
1200, Pineal gland,27.4
1201, Carotid body,27.5
1202, Aortic body and other paraganglia,27.6
1203, Other,27.8
1204, Site unspecified,27.9
1205,"Hemangioma and lymphangioma, any site",28
1206," Hemangioma, any site",28.0
1207," Lymphangioma, any site",28.1
1208,Benign neoplasms of other and unspecified sites,29
1209, Lymph nodes,29.0
1210, Other specified sites,29.8
1211, Site unspecified,29.9
1212,Carcinoma in situ of digestive organs,30
1213," Lip, oral cavity, and pharynx",30.0
1214, Esophagus,30.1
1215, Stomach,30.2
1216, Colon,30.3
1217, Rectum,30.4
1218, Anal canal,30.5
1219," Anus, unspecified",30.6
1220, Other and unspecified parts of intestine,30.7
1221, Liver and biliary system,30.8
1222, Other and unspecified digestive organs,30.9
1223,Carcinoma in situ of respiratory system,31
1224, Larynx,31.0
1225, Trachea,31.1
1226, Bronchus and lung,31.2
1227, Other specified parts,31.8
1228, Part unspecified,31.9
1229,Carcinoma in situ of skin,32
1230, Skin of lip,32.0
1231," Eyelid, including canthus",32.1
1232, Ear and external auricular canal,32.2
1233, Skin of other and unspecified parts of face,32.3
1234, Scalp and skin of neck,32.4
1235," Skin of trunk, except scrotum",32.5
1236," Skin of upper limb, including shoulder",32.6
1237," Skin of lower limb, including hip",32.7
1238, Other specified sites,32.8
1239, Site unspecified,32.9
1240,Carcinoma in situ of breast and genitourinary system,33
1241, Breast,33.0
1242, Cervix uteri,33.1
1243, Other and unspecified parts of uterus,33.2
1244, Other and unspecified female genital organs,33.3
1245, Prostate,33.4
1246, Penis,33.5
1247, Other and unspecified male genital organs,33.6
1248, Bladder,33.7
1249, Other and unspecified urinary organs,33.9
1250,Carcinoma in situ of other and unspecified sites,34
1251, Eye,34.0
1252, Other specified sites,34.8
1253, Site unspecified,34.9
1254,Neoplasms of uncertain behavior of digestive and respiratory systems,35
1255, Major salivary glands,35.0
1256," Lip, oral cavity, and pharynx",35.1
1257," Stomach, intestines, and rectum",35.2
1258, Liver and biliary passages,35.3
1259, Retroperitoneum and peritoneum,35.4
1260, Other and unspecified digestive organs,35.5
1261, Larynx,35.6
1262," Trachea, bronchus, and lung",35.7
1263," Pleura, thymus, and mediastinum",35.8
1264, Other and unspecified respiratory organs,35.9
1265,Neoplasms of uncertain behavior of genitourinary organs,36
1266, Uterus,36.0
1267, Placenta,36.1
1268, Ovary,36.2
1269, Other and unspecified female genital organs,36.3
1270, Testis,36.4
1271, Prostate,36.5
1272, Other and unspecified male genital organs,36.6
1273, Bladder,36.7
1274, Other and unspecified urinary organs,36.9
1275,Neoplasms of uncertain behavior of endocrine glands and nervous system,37
1276, Pituitary gland and craniopharyngeal duct,37.0
1277, Pineal gland,37.1
1278, Suprarenal gland,37.2
1279, Paraganglia,37.3
1280, Other and unspecified endocrine glands,37.4
1281, Brain and spinal cord,37.5
1282, Meninges,37.6
1283, Neurofibromatosis,37.7
1284, Other and unspecified parts of nervous system,37.9
1285,Neoplasms of uncertain behavior of other and unspecified sites and tissues,38
1286, Bone and articular cartilage,38.0
1287, Connective and other soft tissue,38.1
1288, Skin,38.2
1289, Breast,38.3
1290, Polycythemia vera,38.4
1291, Histiocytic and mast cells,38.5
1292, Plasma cells,38.6
1293, Other lymphatic and hematopoietic tissues,38.7
1294, Other specified sites,38.8
1295, Site unspecified,38.9
1296,Neoplasms of unspecified nature,39
1297, Digestive system,39.0
1298, Respiratory system,39.1
1299," Bone, soft tissue, and skin",39.2
1300, Breast,39.3
1301, Bladder,39.4
1302, Other genitourinary organs,39.5
1303, Brain,39.6
1304," Endocrine glands, and other parts of nervous system",39.7
1305, Other specified sites,39.8
1306, Site unspecified,39.9
1307,Simple and unspecified goiter,40
1308," Goiter, specified as simple",40.0
1309," Goiter, unspecified",40.9
1310,Nontoxic nodular goiter,41
1311, Nontoxic uninodular goiter,41.0
1312, Nontoxic multinodular goiter,41.1
1313, Unspecified,41.9
1314,Thyrotoxicosis with or without goiter,42
1315, Toxic diffuse goiter,42.0
1316, Toxic uninodular goiter,42.1
1317, Toxic multinodular goiter,42.2
1318," Toxic nodular goiter, unspecified",42.3
1319, Thyrotoxicosis from ectopic thyroid nodule,42.4
1320, Thyrotoxicosis of other specified origin,42.8
1321, Thyrotoxicosis without mention of goiter or other cause,42.9
1322,Congenital hypothyroidism,43
1323,Acquired hypothyroidism,44
1324, Other postablative hypothyroidism,44.1
1325, Iodine hypothyroidism,44.2
1326, Other iatrogenic hypothyroidism,44.3
1327, Other,44.8
1328, Unspecified hypothyroidism,44.9
1329,Thyroiditis,45
1330, Acute thyroiditis,45.0
1331, Subacute thyroiditis,45.1
1332, Chronic lymphocytic thyroiditis,45.2
1333, Chronic fibrous thyroiditis,45.3
1334, Iatrogenic thyroiditis,45.4
1335, Other and unspecified chronic thyroiditis,45.8
1336, Unspecified,45.9
1337,Other disorders of thyroid,46
1338, Disorders of thyrocalcitonin secretion,46.0
1339, Dyshormonogenic goiter,46.1
1340, Cyst of thyroid,46.2
1341, Hemorrhage and infarction of thyroid,46.3
1342, Other,46.8
1343, Unspecified,46.9
1344,Diabetes mellitus,50
1345, Diabetes mellitus without mention of complication,50.0
1346, Diabetes with ketoacidosis,50.1
1347, Diabetes with coma,50.2
1348, Diabetes with renal manifestations,50.3
1349, Diabetes with ophthalmic manifestations,50.4
1350, Diabetes with neurological manifestations,50.5
1351, Diabetes with peripheral circulatory disorders,50.6
1352, Diabetes with other specified manifestations,50.7
1353, Diabetes with unspecified complications,50.9
1354,Other disorders of pancreatic internal secretion,51
1355, Hypoglycemic coma,51.0
1356, Other hyperinsulinism,51.1
1357," Hypoglycemia, unspecified",51.2
1358, Abnormality of secretion of glucagon,51.4
1359, Abnormality of secretion of gastrin,51.5
1360, Other,51.8
1361, Unspecified,51.9
1362,Disorders of parathyroid gland,52
1363, Hyperparathyroidism,52.0
1364, Hypoparathyroidism,52.1
1365, Other,52.8
1366, Unspecified,52.9
1367,Disorders of the pituitary gland and its hypothalamic control,53
1368, Acromegaly and gigantism,53.0
1369, Other anterior pituitary hyperfunction,53.1
1370, Panhypopituitarism,53.2
1371, Pituitary dwarfism,53.3
1372, Other anterior pituitary disorders,53.4
1373, Diabetes insipidus,53.5
1374, Other disorders of neurohypophysis,53.6
1375, Iatrogenic pituitary disorders,53.7
1376, Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,53.8
1377, Unspecified,53.9
1378,Diseases of thymus gland,54
1379, Persistent hyperplasia of thymus,54.0
1380, Abscess of thymus,54.1
1381, Other,54.8
1382, Unspecified,54.9
1383,Disorders of adrenal glands,55
1384, Cushing's syndrome,55.0
1385, Hyperaldosteronism,55.1
1386, Adrenogenital disorders,55.2
1387, Other corticoadrenal overactivity,55.3
1388, Corticoadrenal insufficiency,55.4
1389, Other adrenal hypofunction,55.5
1390, Medulloadrenal hyperfunction,55.6
1391, Other,55.8
1392, Unspecified,55.9
1393,Ovarian dysfunction,56
1394, Hyperestrogenism,56.0
1395, Other ovarian hyperfunction,56.1
1396, Postablative ovarian failure,56.2
